Week	Lecture Title	Content	Goals / Objectives	Reference
1	Orientation	Course overview, progress, and evaluation criteria; Importance of data analysis in bioinformatics.	Understand the course roadmap and goals; increase motivation.	-
2	Python Environment & Basics	Jupyter Notebook usage; Basic syntax (variables, lists, dictionaries); Control flow and functions.	Build a data analysis environment; write code using basic Python syntax.	Ch. 1
3	Scientific Computing & Data Structures	NumPy array calculations; SciPy overview (linear algebra); Pandas Series and DataFrame basics.	Master basic operations of NumPy and Pandas for matrix and table data.	Ch. 2
4	Descriptive Statistics & Visualization	Basic statistics (mean, variance, std dev); Visualization with Matplotlib; Correlation coefficients.	Describe data characteristics using both numerical values and graphs.	Ch. 3, 7
5	Probability & Statistical Testing	Probability distributions (Normal, Poisson); Statistical estimation and testing (t-test); p-values.	Infer population properties and scientifically judge statistical differences.	Ch. 4
6	Data Processing with Pandas	Handling missing values and outliers; Data merging and aggregation; Time-series basics.	Clean and reshape noisy observational data into an analyzable format.	Ch. 6
7	Midterm Review	Review of Weeks 2–6; Q&A session.	Resolve questions regarding Python basics and statistics to prepare for the midterm.	-
8	Midterm Exam	Practical and written exam on Weeks 2–6.	Confirm proficiency in data preprocessing and basic statistics.	-
9	Applied Computing & Advanced Visualization	Advanced math with NumPy/SciPy; Advanced visualization (Seaborn); Exploratory Data Analysis (EDA).	Implement complex mathematical calculations and visualize multivariate relationships.	Ch. 5, 7
10	Machine Learning 1: Supervised (Regression)	Machine learning workflow; Simple and Multiple Linear Regression; Model evaluation ($R^2$).	Build regression models to predict continuous values and model variable relationships.	Ch. 8
11	Machine Learning 2: Supervised (Classification)	Logistic Regression, Decision Trees, k-NN, SVM; Breast Cancer Dataset; Overfitting countermeasures.	Build classification models (e.g., Benign/Malignant) to predict unknown data.	Ch. 8
12	Machine Learning 3: Unsupervised & PCA	Clustering (k-means); Principal Component Analysis (PCA); High-dimensional data visualization.	Find structures in unlabeled data and compress high-dimensional genetic data.	Ch. 9
13	Model Validation & Tuning	Cross-Validation; Confusion Matrix, ROC Curve, AUC; Parameter tuning via Grid Search.	Evaluate generalization performance and learn the improvement process.	Ch. 10
14	Final Review	Review of Weeks 9–13; Q&A session.	Resolve questions regarding ML modeling and evaluation to prepare for the final exam.	-
15	Supplementary Lecture	Schedule adjustment or Comprehensive Exercises.	Supplement progress or perform practical exercises using Chapter 11 problems.	(Ch. 11)
16	Final Exam	Comprehensive exam covering the entire course (focus on Weeks 9–13).	Confirm total skills in ML model construction, evaluation, and data analysis.	-
